,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
0,CHEMBL257197,26.0,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,active,473.56200000000024,4.083400000000002,9.0,1.0,7.585026652029182
1,CHEMBL257196,140.0,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(N)=O,active,445.5080000000002,3.480500000000002,9.0,2.0,6.853871964321762
2,CHEMBL256996,130.0,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,active,473.56200000000024,4.083400000000003,9.0,1.0,6.886056647693163
3,CHEMBL497697,361.0,CN/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,active,390.4260000000001,2.8928000000000003,8.0,3.0,6.442492798094342
4,CHEMBL271668,200.0,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)NCCO)c34)cc2C)cn1,active,473.5330000000003,4.053340000000002,8.0,3.0,6.698970004336019
5,CHEMBL258354,140.0,O=C(COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N1CCOCC1,active,505.96200000000033,4.238400000000003,8.0,1.0,6.853871964321762
6,CHEMBL1172878,36450.0,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl,inactive,335.74699999999996,3.0097200000000015,6.0,0.0,4.4383024673460065
7,CHEMBL257873,5.0,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2F)cn1,active,479.51600000000036,3.5668200000000008,9.0,3.0,8.301029995663981
8,CHEMBL248108,22.0,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,active,470.55600000000027,3.9331000000000014,8.0,2.0,7.657577319177793
9,CHEMBL246284,55.0,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,active,487.5390000000004,3.5150000000000015,9.0,2.0,7.259637310505756
10,CHEMBL1645471,6.0,Cc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1,active,336.4430000000001,2.7044200000000007,6.0,2.0,8.221848749616356
11,CHEMBL1645476,6.0,NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1,active,374.85100000000017,3.1885000000000003,6.0,2.0,8.221848749616356
12,CHEMBL1256436,478.0,Cc1cc(Nc2nc3cccc(Cl)c3o2)ccc1-c1nn([C@H]2CC[C@H](N3CCN(C)CC3)CC2)c2ncnc(N)c12,active,572.1170000000003,5.653220000000006,10.0,2.0,6.320572103387881
13,CHEMBL497697,84.0,CN/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,active,390.4260000000001,2.8928000000000003,8.0,3.0,7.075720713938118
14,CHEMBL524457,18.0,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCCCC1,active,444.51800000000026,4.1593000000000035,8.0,2.0,7.7447274948966935
15,CHEMBL498134,509.0,CN1CCN(/N=C/c2c(N)ncnc2Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)CC1,active,459.53300000000024,2.9208000000000007,9.0,2.0,6.293282217663241
16,CHEMBL592481,4510.0,O=C1CSC(N/N=C/c2cc(Cl)cc(Cl)c2O)=N1,intermediate,304.1580000000001,2.2519000000000005,5.0,2.0,5.345823458122039
17,CHEMBL55994,34673.69,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1,inactive,271.29699999999997,2.949180000000001,5.0,2.0,4.459999937940861
